,Date,Volume USD,Price,Volume,Transc
2,2021-03-22T00:00:00.000Z,,,,
3,2021-03-23T00:00:00.000Z,,,,
4,2021-03-24T00:00:00.000Z,,,,
5,2021-03-25T00:00:00.000Z,,,,
6,2021-03-26T00:00:00.000Z,,,,
7,2021-03-27T00:00:00.000Z,,,,
8,2021-03-28T00:00:00.000Z,,,,
9,2021-03-29T00:00:00.000Z,,,,
10,2021-03-30T00:00:00.000Z,6208004.02,46.68,133004.48,25
11,2021-03-31T00:00:00.000Z,9771925.14,46.68,209360.34,45
12,2021-04-01T00:00:00.000Z,51618804.63,78.14,660607.61,157
13,2021-04-02T00:00:00.000Z,140201332.65,92.87,1509579.24,148
14,2021-04-03T00:00:00.000Z,714476.83,77.54,9214.42,4
15,2021-04-04T00:00:00.000Z,163558.41,81.78,2000,1
16,2021-04-05T00:00:00.000Z,1636607.15,100.43,16296.46,10
17,2021-04-06T00:00:00.000Z,961142.02,89.54,10733.72,5
18,2021-04-07T00:00:00.000Z,1543863.73,81.32,18985.65,7
19,2021-04-08T00:00:00.000Z,686631.89,87.99,7803.55,4
20,2021-04-09T00:00:00.000Z,871435.09,75.47,11546.63,4
21,2021-04-10T00:00:00.000Z,287960.35,88.79,3243.23,2
22,2021-04-11T00:00:00.000Z,575484.45,97.75,5887.15,4
23,2021-04-12T00:00:00.000Z,211802.3,87.15,2430.31,2
24,2021-04-13T00:00:00.000Z,121151.48,80.77,1500,1
25,2021-04-14T00:00:00.000Z,282240.62,80.41,3509.89,2
26,2021-04-15T00:00:00.000Z,112633.02,75.07,1500.3,1
27,2021-04-16T00:00:00.000Z,327406.32,71.63,4570.77,2
28,2021-04-17T00:00:00.000Z,341906.07,72.21,4734.74,2
29,2021-04-18T00:00:00.000Z,,69.38,,
30,2021-04-19T00:00:00.000Z,111754.38,63.08,1771.6,1
31,2021-04-20T00:00:00.000Z,965707.36,73.75,13094.94,6
32,2021-04-21T00:00:00.000Z,,69.07,,
33,2021-04-22T00:00:00.000Z,,70.01,,
34,2021-04-23T00:00:00.000Z,6405327.57,66.3,96615.57,6
35,2021-04-24T00:00:00.000Z,219485.74,64.52,3401.87,2
36,2021-04-25T00:00:00.000Z,103780.98,59.83,1734.63,1
37,2021-04-26T00:00:00.000Z,,67.25,,
38,2021-04-27T00:00:00.000Z,1227522.33,63.18,19428.76,3
