,DateTime,Price,Out,At,In
0,2015-08-07,1.84,0.0,0.336601,0.663399
1,2015-08-08,1.58,0.11718,0.331678,0.551142
2,2015-08-09,1.2,0.211518,0.347644,0.440838
3,2015-08-10,1.2,0.102564,0.508361,0.389075
4,2015-08-11,0.9252,0.279642,0.411633,0.308725
5,2015-08-12,1.1,0.075078,0.626694,0.298227
6,2015-08-13,1.57,0.0,0.657963,0.342037
7,2015-08-14,1.95,0.0,0.586861,0.413139
8,2015-08-15,1.65,0.0,0.749785,0.250215
9,2015-08-16,1.15,0.208955,0.632133,0.158911
10,2015-08-17,1.42,0.009735,0.827434,0.162832
11,2015-08-18,1.25,0.045896,0.799647,0.154457
12,2015-08-19,1.18,0.088696,0.781739,0.129565
13,2015-08-20,1.38,0.008403,0.861345,0.130252
14,2015-08-21,1.49,0.005639,0.834586,0.159774
15,2015-08-22,1.42,0.871568,0.001771,0.126661
16,2015-08-23,1.36,0.00745,0.875828,0.116722
17,2015-08-24,1.3,0.011184,0.871389,0.117428
18,2015-08-25,1.25,0.028838,0.86514,0.106022
19,2015-08-26,1.18,0.06,0.845455,0.094545
20,2015-08-27,1.17,0.07619,0.831169,0.092641
21,2015-08-28,1.22,0.031847,0.857143,0.11101
22,2015-08-29,1.23,0.023736,0.883385,0.092879
23,2015-08-30,1.26,0.025551,0.872247,0.102203
24,2015-08-31,1.11,0.148112,0.774443,0.077444
25,2015-09-01,1.35,0.003676,0.881434,0.11489
26,2015-09-02,1.25,0.018147,0.904489,0.077364
27,2015-09-03,1.23,0.021583,0.892086,0.086331
28,2015-09-04,1.34,0.004115,0.907407,0.088477
29,2015-09-05,1.3,0.005092,0.898167,0.096741
30,2015-09-06,1.37,0.003,0.897,0.1
31,2015-09-07,1.31,0.011472,0.910134,0.078394
32,2015-09-08,1.27,0.023279,0.8917,0.08502
33,2015-09-09,1.23,0.018036,0.907816,0.074148
34,2015-09-10,1.17,0.054167,0.895833,0.05
35,2015-09-11,1.06,0.4347,0.521449,0.043851
36,2015-09-12,1.04,0.476341,0.474238,0.049422
37,2015-09-13,1.02,0.433925,0.521696,0.044379
38,2015-09-14,0.9236,0.510427,0.436941,0.052632
39,2015-09-15,0.902,0.466181,0.474506,0.059313
40,2015-09-16,0.9463,0.442,0.504,0.054
41,2015-09-17,0.88005,0.507368,0.452632,0.04
42,2015-09-18,0.86615,0.491155,0.468262,0.040583
43,2015-09-19,0.84565,0.525901,0.438063,0.036036
44,2015-09-20,0.885,0.464602,0.502212,0.033186
45,2015-09-21,0.91855,0.401294,0.551241,0.047465
46,2015-09-22,0.87355,0.422658,0.534858,0.042484
47,2015-09-23,0.85795,0.487649,0.461116,0.051235
48,2015-09-24,0.855,0.442946,0.516598,0.040456
49,2015-09-25,0.74115,0.66557,0.296053,0.038377
50,2015-09-26,0.7254,0.639908,0.336009,0.024083
51,2015-09-27,0.7355,0.588164,0.380435,0.031401
52,2015-09-28,0.65235,0.631027,0.334382,0.034591
53,2015-09-29,0.5908,0.651899,0.314346,0.033755
54,2015-09-30,0.6223,0.588614,0.372718,0.038668
55,2015-10-01,0.6841,0.538462,0.36044,0.101099
56,2015-10-02,0.6604,0.543478,0.409611,0.046911
57,2015-10-03,0.67215,0.482759,0.478161,0.03908
58,2015-10-04,0.6421,0.531746,0.436508,0.031746
59,2015-10-05,0.60865,0.615566,0.370283,0.014151
60,2015-10-06,0.6301,0.517514,0.457627,0.024859
61,2015-10-07,0.6055,0.545455,0.433939,0.020606
62,2015-10-08,0.62,0.494368,0.489362,0.01627
63,2015-10-09,0.60265,0.537805,0.44878,0.013415
64,2015-10-10,0.69255,0.398983,0.363405,0.237611
65,2015-10-11,0.5993,0.532319,0.452471,0.015209
66,2015-10-12,0.6345,0.462594,0.517456,0.01995
67,2015-10-13,0.6258,0.404073,0.575563,0.020364
68,2015-10-14,0.55085,0.577465,0.396378,0.026157
69,2015-10-15,0.5216,0.546114,0.435233,0.018653
70,2015-10-16,0.5436,0.554133,0.433062,0.012806
71,2015-10-17,0.53,0.58134,0.40311,0.01555
72,2015-10-18,0.5125,0.528522,0.456345,0.015134
73,2015-10-19,0.49355,0.483087,0.506342,0.010571
74,2015-10-20,0.46025,0.632458,0.355609,0.011933
75,2015-10-21,0.44595,0.499498,0.482447,0.018054
76,2015-10-22,0.51,0.452973,0.474595,0.072432
77,2015-10-23,0.5545,0.408578,0.469526,0.121896
78,2015-10-24,0.53305,0.315349,0.671628,0.013023
79,2015-10-25,0.62875,0.266667,0.533333,0.2
80,2015-10-26,0.663,0.212848,0.621285,0.165868
81,2015-10-27,0.8011,0.117588,0.506533,0.375879
82,2015-10-28,0.915,0.060733,0.508901,0.430366
83,2015-10-29,1.09,0.020851,0.494579,0.48457
84,2015-10-30,1.23,0.005109,0.608029,0.386861
85,2015-10-31,1.0,0.083401,0.648406,0.268193
86,2015-11-01,0.9288,0.09702,0.738739,0.164241
87,2015-11-02,1.02,0.045666,0.702786,0.251548
88,2015-11-03,0.95125,0.053666,0.748299,0.198035
89,2015-11-04,0.92935,0.06692,0.736122,0.196958
90,2015-11-05,0.8995,0.099831,0.735195,0.164975
91,2015-11-06,0.88995,0.100093,0.731233,0.168675
92,2015-11-07,0.89735,0.055389,0.818862,0.125749
93,2015-11-08,0.94725,0.028702,0.836269,0.135029
