,Date,Timestamp,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium
,,,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming
,,,ethereum,ethereum-staking,ethereum-pool2,Total,staking,pool2,ethereum,ethereum,ethereum-staking,ethereum-pool2,ethereum-pool2,ethereum-pool2,Total,Total,staking,pool2,pool2,pool2,ethereum,ethereum,ethereum-staking,ethereum-pool2,ethereum-pool2,ethereum-pool2,Total,Total,staking,pool2,pool2,pool2
,,,TVL,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,,SNX,AXS,ILV,WETH,ILV,WETH-ILV-SLP,SNX,AXS,ILV,ILV,WETH,WETH-ILV-SLP,SNX,AXS,ILV,WETH,ILV,WETH-ILV-SLP,SNX,AXS,ILV,ILV,WETH,WETH-ILV-SLP
,01/07/2021,1625097600,1345127.7704401638,,,1345127.7704401638,3503613.3257816616,3710092.130240755,1345127.7704401638,0,,,,,1345127.7704401638,0,3503613.3257816616,1809525.8645426934,1900566.2656980616,,196221.78800213244,0,,,,,196221.78800213244,0,54716.107987258896,28259.457709411097,887.7512647868217,
,02/07/2021,1625184000,7334797.670248892,,,7334797.670248892,9892687.774187656,17019243.658037703,7334797.670248892,0,,,,,7334797.670248892,0,9892687.774187656,8262778.150904295,8756465.507133408,,1074670.772666678,0,,,,,1074670.772666678,0,159169.99252873825,132945.29925200794,4126.298694822678,
,03/07/2021,1625270400,12070012.80389801,,,12070012.80389801,9366005.6846268,20965945.42276555,12070012.80389801,0,,,,,12070012.80389801,0,9366005.6846268,10087377.980453402,10878567.442312147,,1862377.5198603678,0,,,,,1862377.5198603678,0,148245.95978265465,159663.9037767483,5336.28786246711,
,04/07/2021,1625356800,13819956.825567948,,,13819956.825567948,11111722.930015475,26216923.056421526,13819956.825567948,0,,,,,13819956.825567948,0,11111722.930015475,12886848.84838937,13330074.208032157,,1919546.4605182735,0,,,,,1919546.4605182735,0,149552.28347223185,173443.6400346285,5992.432811126475,
,05/07/2021,1625443200,14440938.697073115,,,14440938.697073115,13935402.819856925,27396435.32011827,14440938.697073115,0,,,,,14440938.697073115,0,13935402.819856925,13766983.308445128,13629452.011673143,,1885969.563712391,0,,,,,1885969.563712391,0,166947.35347343737,164929.67288917582,5846.963021684806,
,06/07/2021,1625529600,16913340.89900245,,,16913340.89900245,13698357.670668539,26484503.82525514,16913340.89900245,0,,,,,16913340.89900245,0,13698357.670668539,12876311.566593235,13608192.258661907,,1830123.4344309082,0,,,,,1830123.4344309082,0,179719.76740587552,168934.68366275923,5893.433998280049,
