,Time,prices,MCap,Volume,Open,High,Low,Close
0,1617148800000,46.67514952575587,6615161.18105145,10933215.997082641,46.68,46.68,46.68,46.68
1,1617235200000,46.67514952575587,6615161.18105145,10933215.997082641,,,,
2,1617321600000,78.138373611366,32169865.316873446,31196559.042043027,,,,
3,1617408000000,92.87444389758001,6016447.021017533,28941230.460458804,46.68,92.87,46.68,92.87
4,1617494400000,77.53897509035339,5043018.042288533,5875957.916015591,,,,
5,1617580800000,81.77920397052691,5277588.403357214,3099339.2012453587,,,,
6,1617667200000,100.42714062730877,58659564.40472794,9502765.734624587,,,,
7,1617753600000,89.5441876563657,51716972.222360566,5763801.412356531,77.54,100.43,77.54,89.54
8,1617840000000,81.317388316377,47864880.516711615,4804750.56691462,,,,
9,1617926400000,87.98962898322434,51333864.2011678,3528969.7298113047,,,,
10,1618012800000,75.47092567005336,44183946.43211262,3803065.910248483,,,,
11,1618099200000,88.78816983142048,51937075.99121555,3979687.5624534404,81.32,88.79,75.47,88.79
12,1618185600000,97.75262246167783,56424925.4629352,4699960.308675086,,,,
13,1618272000000,87.15043504131772,50778008.36692455,2949060.1544662677,,,,
14,1618358400000,80.76765434767222,47295507.333491586,3400728.041236883,,,,
15,1618444800000,80.41301899056461,47104934.472940765,2602560.4679121454,97.75,97.75,80.41,80.41
16,1618531200000,75.07370967764938,44235389.27399954,2604280.196710263,,,,
17,1618617600000,71.63039251672606,41905053.36702844,2293645.810778427,,,,
18,1618704000000,72.21215697756904,42344662.090015605,2153060.356553261,,,,
19,1618790400000,69.3766139758477,40723510.358262256,1986550.816141725,75.07,75.07,69.38,69.38
20,1618876800000,63.08094099020737,37037980.68901278,1457479.1038508841,,,,
21,1618963200000,73.74658089342824,43308403.5625974,3217981.198477509,,,,
22,1619049600000,69.07330040388733,40566589.24050382,1840518.5495810448,,,,
23,1619136000000,70.00528095055128,41171550.375329785,1356420.181934934,63.08,73.75,63.08,70.01
24,1619222400000,66.29705052507116,42416600.81784845,2562565.3285047417,,,,
25,1619308800000,64.51914247909077,41312444.95702706,1890393.343455081,,,,
26,1619395200000,59.82899513436883,38338137.42602362,1764625.8442666412,,,,
27,1619481600000,67.2495048022967,42834400.90147244,1917198.906265702,66.3,67.25,59.83,67.25
28,1619568000000,63.180685508245844,41387322.41657656,2585175.297982071,,,,
29,1619654400000,60.66007983303402,38897253.91290254,2992605.0763799488,,,,
30,1619740800000,62.196854781010764,40530074.65687485,1694167.690838851,63.18,63.18,60.66,62.2
31,1619827200000,62.41501835690995,40733928.536517814,1017865.8616319008,,,,
32,1619913600000,69.85079997377308,45689383.695015945,1471670.6473999429,,,,
33,1620000000000,65.55392152944187,42778677.36067714,1463929.3380536682,62.42,69.85,62.42,65.55
34,1620086400000,63.00408354098064,41084256.19242983,697972.8989377738,,,,
35,1620172800000,60.01373726292086,39461238.392246395,3017457.959431704,,,,
36,1620259200000,65.54465076474393,42753482.93633113,1174339.6688591843,,,,
37,1620345600000,62.80210388733142,41066866.354472995,1941349.2127817133,63.0,65.54,60.01,62.8
38,1620432000000,65.6367711089634,42796913.778106,1964602.013587382,,,,
39,1620518400000,66.4953579395458,43320671.72515757,2092260.2929923534,,,,
40,1620604800000,69.32483473202339,45236880.96766919,1363407.0886968551,,,,
41,1620691200000,64.26815789365936,41887004.363069735,2113521.7920397315,65.64,69.32,64.27,64.27
42,1620777600000,65.36916277408933,42690912.020704724,1334564.9577977932,,,,
43,1620864000000,65.5898272742277,44280854.47035216,1824037.749385637,,,,
44,1620950400000,69.84210505480448,45385149.46656788,1404628.0916615047,,,,
45,1621036800000,85.74112095829429,55915191.648471735,4401081.483129396,65.37,85.74,65.37,85.74
46,1621123200000,77.34290384089346,50510217.553284764,4178255.6998786414,,,,
47,1621209600000,77.98490579562,49765761.343760654,3429860.4438332287,,,,
48,1621296000000,75.88919973531561,49525335.09125212,2385618.179216127,,,,
49,1621382400000,80.94883953234968,52860452.75798482,1425317.2401555588,77.34,80.95,75.89,80.95
50,1621468800000,62.91776631198193,41311010.575164706,3732492.6480078553,,,,
51,1621555200000,68.67319951933426,44511785.58211504,2817170.871602984,,,,
52,1621641600000,59.865425732644454,39158296.4354627,4280546.311648498,,,,
53,1621728000000,57.915363224812296,37898565.15845396,1403267.6508832772,62.92,68.67,57.92,57.92
54,1621814400000,46.54698933807308,30314564.5074078,1532124.9701775713,,,,
55,1621900800000,61.63860987593584,40243576.04076648,2625809.8573052455,,,,
56,1621987200000,58.76365037455172,38276782.14020522,1703868.6484042131,,,,
57,1622073600000,61.82627823155,39390311.47056548,697729.5169295573,46.55,61.83,46.55,61.83
58,1622160000000,59.767944915213405,39015183.18286263,957782.1054343831,,,,
59,1622246400000,54.427917277447236,35602363.373959616,1674494.883977932,,,,
60,1622332800000,52.72362131263423,34563479.688180886,880700.1983646018,,,,
61,1622419200000,56.69198108565051,36906795.96534094,642491.3878925077,59.77,59.77,52.72,56.69
62,1622505600000,63.0151473673378,40854236.87923819,792103.8775443772,,,,
63,1622592000000,62.1474351608916,40534718.923672676,1279159.2431991731,,,,
64,1622678400000,64.91098355194376,42492894.63364326,627799.0163921966,63.02,64.91,62.15,64.91
65,1622764800000,66.40204474948038,43250358.948486395,1430319.845240256,,,,
66,1622851200000,62.28239542652488,40583448.343555234,957674.7338141259,,,,
67,1622937600000,61.67165221951045,40131933.19220874,1013715.5934680208,,,,
68,1623024000000,63.01786837420453,41057077.32272661,730872.7775579784,66.4,66.4,61.67,63.02
69,1623110400000,61.01223574293606,40007544.862063065,592897.9412708242,,,,
70,1623196800000,57.6256581050459,37428799.34666451,1502837.8115386066,,,,
71,1623283200000,60.409323430516665,39886118.645561315,747699.3193943644,,,,
72,1623369600000,55.03250229034391,35813972.42268409,729260.666484683,61.01,61.01,55.03,55.03
73,1623456000000,48.08271613609915,31562895.674725346,1127298.2539682195,,,,
74,1623542400000,48.98830207022237,32050051.42848936,565722.8990248393,,,,
75,1623628800000,51.374552154005016,33391304.54158461,1114988.7067672918,,,,
76,1623715200000,49.60095932224136,32337175.928091183,1400492.0039756496,48.08,51.37,48.08,49.6
77,1623801600000,52.46108997030466,34281395.224798806,670094.6829464437,,,,
78,1623888000000,48.38199896386631,31536113.938953437,1004488.2905310966,,,,
