DateTime,New Addresses,Active Addresses,Zero Balance Addresses,Price
2021-03-21T00:00:00.000Z,3,3,,
2021-03-22T00:00:00.000Z,,,,
2021-03-23T00:00:00.000Z,,,,
2021-03-24T00:00:00.000Z,,,,
2021-03-25T00:00:00.000Z,,,,
2021-03-26T00:00:00.000Z,,,,
2021-03-27T00:00:00.000Z,,,,
2021-03-28T00:00:00.000Z,,,,
2021-03-29T00:00:00.000Z,6,8,5,
2021-03-30T00:00:00.000Z,633,636,84,46.68
2021-03-31T00:00:00.000Z,749,852,92,46.68
2021-04-01T00:00:00.000Z,1049,1304,128,78.14
2021-04-02T00:00:00.000Z,903,1294,163,92.87
2021-04-03T00:00:00.000Z,197,390,99,77.54
2021-04-04T00:00:00.000Z,222,346,72,81.78
2021-04-05T00:00:00.000Z,414,674,143,100.43
2021-04-06T00:00:00.000Z,295,548,135,89.54
2021-04-07T00:00:00.000Z,163,373,77,81.32
2021-04-08T00:00:00.000Z,110,261,66,87.99
2021-04-09T00:00:00.000Z,94,236,71,75.47
2021-04-10T00:00:00.000Z,162,313,70,88.79
2021-04-11T00:00:00.000Z,267,512,74,97.75
2021-04-12T00:00:00.000Z,114,292,81,87.15
2021-04-13T00:00:00.000Z,95,273,65,80.77
2021-04-14T00:00:00.000Z,67,215,64,80.41
2021-04-15T00:00:00.000Z,64,238,55,75.07
2021-04-16T00:00:00.000Z,38,145,34,71.63
2021-04-17T00:00:00.000Z,35,127,33,72.21
2021-04-18T00:00:00.000Z,44,192,46,69.38
2021-04-19T00:00:00.000Z,27,121,32,63.08
2021-04-20T00:00:00.000Z,28,155,38,73.75
2021-04-21T00:00:00.000Z,23,115,39,69.07
2021-04-22T00:00:00.000Z,61,173,49,70.01
2021-04-23T00:00:00.000Z,84,221,62,66.3
2021-04-24T00:00:00.000Z,26,112,24,64.52
2021-04-25T00:00:00.000Z,34,137,46,59.83
2021-04-26T00:00:00.000Z,35,110,25,67.25
2021-04-27T00:00:00.000Z,46,144,33,63.18
2021-04-28T00:00:00.000Z,2228,2511,53,60.66
2021-04-29T00:00:00.000Z,57,358,209,62.2
2021-04-30T00:00:00.000Z,33,185,89,62.42
2021-05-01T00:00:00.000Z,38,207,94,69.85
2021-05-02T00:00:00.000Z,33,141,53,65.55
2021-05-03T00:00:00.000Z,32,152,66,63
2021-05-04T00:00:00.000Z,34,167,63,60.01
2021-05-05T00:00:00.000Z,18,108,30,65.54
2021-05-06T00:00:00.000Z,18,84,26,62.8
2021-05-07T00:00:00.000Z,22,95,32,65.64
2021-05-08T00:00:00.000Z,19,72,15,66.5
2021-05-09T00:00:00.000Z,17,63,20,69.32
2021-05-10T00:00:00.000Z,8,45,13,64.27
2021-05-11T00:00:00.000Z,6,42,9,65.37
2021-05-12T00:00:00.000Z,11,56,14,65.59
2021-05-13T00:00:00.000Z,19,98,28,69.84
2021-05-14T00:00:00.000Z,47,143,42,85.74
2021-05-15T00:00:00.000Z,24,130,41,77.34
2021-05-16T00:00:00.000Z,29,130,49,77.98
2021-05-17T00:00:00.000Z,31,125,41,75.89
2021-05-18T00:00:00.000Z,18,105,30,80.95
2021-05-19T00:00:00.000Z,22,129,44,62.92
2021-05-20T00:00:00.000Z,20,112,35,68.67
2021-05-21T00:00:00.000Z,26,141,44,59.87
2021-05-22T00:00:00.000Z,13,109,34,57.92
2021-05-23T00:00:00.000Z,15,156,63,46.55
2021-05-24T00:00:00.000Z,21,155,63,61.64
2021-05-25T00:00:00.000Z,22,169,54,58.76
2021-05-26T00:00:00.000Z,14,106,27,61.83
2021-05-27T00:00:00.000Z,24,169,63,59.77
2021-05-28T00:00:00.000Z,16,139,53,54.43
