DateTime,Price,Out,At,In
2021-03-30T00:00:00.000Z,46.68,0.010929,0.896175,0.092896
2021-03-31T00:00:00.000Z,46.68,0.006639,0.893776,0.099585
2021-04-01T00:00:00.000Z,78.14,0,0.999061,0.000939
2021-04-02T00:00:00.000Z,92.87,0,0.670383,0.329617
2021-04-03T00:00:00.000Z,77.54,0,0.706635,0.293365
2021-04-04T00:00:00.000Z,81.78,0,0.72096,0.27904
2021-04-05T00:00:00.000Z,100.43,0,0.717359,0.282641
2021-04-06T00:00:00.000Z,89.54,0,0.761169,0.238831
2021-04-07T00:00:00.000Z,81.32,0,0.782549,0.217451
2021-04-08T00:00:00.000Z,87.99,0,0.772764,0.227236
2021-04-09T00:00:00.000Z,75.47,0.094395,0.701529,0.204076
2021-04-10T00:00:00.000Z,88.79,0,0.783459,0.216541
2021-04-11T00:00:00.000Z,97.75,0,0.785767,0.214233
2021-04-12T00:00:00.000Z,87.15,0,0.803989,0.196011
2021-04-13T00:00:00.000Z,80.77,0.071637,0.743908,0.184454
2021-04-14T00:00:00.000Z,80.41,0.129048,0.68785,0.183102
2021-04-15T00:00:00.000Z,75.07,0.304633,0.52098,0.174388
2021-04-16T00:00:00.000Z,71.63,0.441398,0.388255,0.170347
2021-04-17T00:00:00.000Z,72.21,0.436695,0.392224,0.171081
2021-04-18T00:00:00.000Z,69.38,0.450632,0.381323,0.168045
2021-04-19T00:00:00.000Z,63.08,0.761441,0.074732,0.163827
2021-04-20T00:00:00.000Z,73.75,0.389268,0.440976,0.169756
2021-04-21T00:00:00.000Z,69.07,0.472345,0.363681,0.163975
2021-04-22T00:00:00.000Z,70.01,0.433211,0.403663,0.163126
2021-04-23T00:00:00.000Z,66.3,0.65247,0.190801,0.156729
2021-04-24T00:00:00.000Z,64.52,0.689949,0.154782,0.155269
2021-04-25T00:00:00.000Z,59.83,0.753354,0.094657,0.151988
2021-04-26T00:00:00.000Z,67.25,0.516419,0.33009,0.153491
2021-04-27T00:00:00.000Z,63.18,0.70985,0.140951,0.149199
2021-04-28T00:00:00.000Z,60.66,0.472896,0.431768,0.095336
2021-04-29T00:00:00.000Z,62.2,0.471841,0.430854,0.097305
2021-04-30T00:00:00.000Z,62.42,0.466949,0.435526,0.097525
2021-05-01T00:00:00.000Z,69.85,0.426036,0.127876,0.446088
2021-05-02T00:00:00.000Z,65.55,0.471732,0.42624,0.102027
2021-05-03T00:00:00.000Z,63,0.506556,0.394191,0.099253
2021-05-04T00:00:00.000Z,60.01,0.525195,0.377682,0.097123
2021-05-05T00:00:00.000Z,65.54,0.469725,0.424187,0.106088
2021-05-06T00:00:00.000Z,62.8,0.500585,0.400702,0.098714
2021-05-07T00:00:00.000Z,65.64,0.466633,0.422813,0.110554
2021-05-08T00:00:00.000Z,66.5,0.458041,0.120863,0.421097
2021-05-09T00:00:00.000Z,69.32,0.439331,0.106946,0.453724
2021-05-10T00:00:00.000Z,64.27,0.495726,0.404894,0.09938
2021-05-11T00:00:00.000Z,65.37,0.480724,0.101408,0.417868
2021-05-12T00:00:00.000Z,65.59,0.473154,0.107886,0.41896
2021-05-13T00:00:00.000Z,69.84,0.434739,0.103981,0.46128
2021-05-14T00:00:00.000Z,85.74,0.159671,0.160175,0.680154
2021-05-15T00:00:00.000Z,77.34,0.252903,0.215043,0.532055
2021-05-16T00:00:00.000Z,77.98,0.249789,0.215213,0.534997
2021-05-17T00:00:00.000Z,75.89,0.256761,0.229209,0.51403
2021-05-18T00:00:00.000Z,80.95,0.217708,0.234975,0.547317
2021-05-19T00:00:00.000Z,62.92,0.507648,0.398368,0.093984
2021-05-20T00:00:00.000Z,68.67,0.444198,0.132391,0.423411
2021-05-21T00:00:00.000Z,59.87,0.544602,0.364489,0.090909
2021-05-22T00:00:00.000Z,57.92,0.564353,0.345844,0.089803
2021-05-23T00:00:00.000Z,46.55,0.905396,0.094431,0.000173
2021-05-24T00:00:00.000Z,61.64,0.496607,0.407865,0.095528
2021-05-25T00:00:00.000Z,58.76,0.532807,0.372982,0.094211
2021-05-26T00:00:00.000Z,61.83,0.49041,0.413866,0.095724
2021-05-27T00:00:00.000Z,59.77,0.507829,0.397153,0.095018
2021-05-28T00:00:00.000Z,54.43,0.870244,0.037688,0.092067
2021-05-29T00:00:00.000Z,52.72,0.886347,0.02123,0.092423
2021-05-30T00:00:00.000Z,56.69,0.556738,0.344611,0.09865
2021-05-31T00:00:00.000Z,63.02,0.476776,0.412959,0.110265
2021-06-01T00:00:00.000Z,62.15,0.508953,0.379825,0.111222
2021-06-02T00:00:00.000Z,64.91,0.473105,0.409943,0.116952
2021-06-03T00:00:00.000Z,66.4,0.468672,0.404564,0.126763
2021-06-04T00:00:00.000Z,62.28,0.531026,0.353525,0.11545
2021-06-05T00:00:00.000Z,61.67,0.535321,0.350677,0.114002
2021-06-06T00:00:00.000Z,63.02,0.511781,0.372745,0.115474
2021-06-07T00:00:00.000Z,61.01,0.534497,0.355196,0.110307
2021-06-08T00:00:00.000Z,57.63,0.587556,0.305965,0.106479
