"DateTime","New Addresses","Active Addresses","Zero Balance Addresses","Price"
"2018-04-30 00:00:00",40.71,59.86,11.86,
"2018-05-07 00:00:00",7.86,19.86,4.29,
"2018-05-14 00:00:00",3.86,16.57,3.29,
"2018-05-21 00:00:00",9,23,6.14,
"2018-05-28 00:00:00",7.43,28.14,9.14,
"2018-06-04 00:00:00",3.29,14.86,2.86,
"2018-06-11 00:00:00",1.57,11.43,2.29,
"2018-06-18 00:00:00",4,18.57,5.14,
"2018-06-25 00:00:00",5.43,26,3.29,
"2018-07-02 00:00:00",2.29,11.71,1.29,
"2018-07-09 00:00:00",1.86,11.29,2.14,
"2018-07-16 00:00:00",10.43,20.43,2.29,
"2018-07-23 00:00:00",2076.29,2093.29,5.29,
"2018-07-30 00:00:00",8384,8428.57,7.29,
"2018-08-06 00:00:00",5247.43,5268,2.86,
"2018-08-13 00:00:00",14071.71,14108.14,6,
"2018-08-20 00:00:00",41863.71,41934.86,5.86,
"2018-08-27 00:00:00",34931.71,35026.57,15.29,
"2018-09-03 00:00:00",36678,36789.14,9.71,
"2018-09-10 00:00:00",57120.86,57292.43,6.29,
"2018-09-17 00:00:00",66966.57,67153.57,5.86,
"2018-09-24 00:00:00",88666.86,88851.29,8,
"2018-10-01 00:00:00",15190.43,15289.71,13.86,
"2018-10-08 00:00:00",5.71,36.14,11.57,
"2018-10-15 00:00:00",7.29,33.86,9.86,
"2018-10-22 00:00:00",3,30.86,10.14,
"2018-10-29 00:00:00",3.57,33.14,6.71,
"2018-11-05 00:00:00",4.71,27.43,7,
"2018-11-12 00:00:00",3.71,61.57,8.57,
"2018-11-19 00:00:00",4,25.29,8.14,
"2018-11-26 00:00:00",4.86,39.43,8.43,
"2018-12-03 00:00:00",4.57,28.14,7.43,
"2018-12-10 00:00:00",1.86,26.57,9.14,
"2018-12-17 00:00:00",20,89.71,54.86,
"2018-12-24 00:00:00",11,75.71,43.57,
"2018-12-31 00:00:00",8.57,52.29,26.29,1.9
"2019-01-07 00:00:00",28.71,129.86,77.71,2.69
"2019-01-14 00:00:00",16.29,84,49.86,2.44
"2019-01-21 00:00:00",13,67.43,35.43,2.16
"2019-01-28 00:00:00",19.71,112.43,62.57,2.76
"2019-02-04 00:00:00",45,212.57,142.71,4.73
"2019-02-11 00:00:00",36,170.14,98.29,5.1
"2019-02-18 00:00:00",38.43,197.29,105.86,5.66
"2019-02-25 00:00:00",52.43,289.14,192.71,6.36
"2019-03-04 00:00:00",43.57,693.14,625.14,6.6
"2019-03-11 00:00:00",46.43,259,169,6.79
"2019-03-18 00:00:00",132.14,1631.86,1170.29,7.2
"2019-03-25 00:00:00",65.14,285.71,157.86,7.22
"2019-04-01 00:00:00",74,979.57,846,8.23
"2019-04-08 00:00:00",56.71,287.86,177.71,7.79
