"Date","Price","Open","High","Low","Vol.","Change %"
"12/12/2023","6.33","6.21","6.39","6.16","447.21K","1.93%"
"12/11/2023","6.21","6.88","6.91","6.03","724.51K","-9.74%"
"12/10/2023","6.88","6.75","6.93","6.63","415.01K","2.53%"
"12/09/2023","6.71","7.01","7.21","6.66","581.22K","-4.28%"
"12/08/2023","7.01","6.87","7.03","6.75","376.06K","2.19%"
"12/07/2023","6.86","6.58","6.96","6.50","526.39K","4.41%"
"12/06/2023","6.57","6.62","6.77","6.39","606.69K","-0.76%"
"12/05/2023","6.62","6.89","7.04","6.44","1.32M","-3.78%"
"12/04/2023","6.88","6.49","6.90","6.10","770.01K","6.01%"
"12/03/2023","6.49","6.66","6.66","6.42","262.50K","-2.41%"
"12/02/2023","6.65","6.36","6.80","6.34","480.00K","4.56%"
"12/01/2023","6.36","6.39","6.42","6.30","170.17K","-0.47%"
"11/30/2023","6.39","6.28","6.42","6.24","200.01K","1.75%"
"11/29/2023","6.28","6.31","6.37","6.18","224.34K","-0.48%"
"11/28/2023","6.31","6.27","6.42","6.07","302.42K","0.64%"
"11/27/2023","6.27","6.39","6.46","6.08","537.16K","-1.88%"
"11/26/2023","6.39","6.71","6.72","6.29","413.36K","-4.77%"
"11/25/2023","6.71","6.46","6.71","6.41","369.21K","3.87%"
"11/24/2023","6.46","6.47","6.65","6.38","416.70K","-0.15%"
"11/23/2023","6.47","6.48","6.58","6.32","258.69K","0.00%"
"11/22/2023","6.47","6.26","6.52","6.19","695.19K","3.19%"
"11/21/2023","6.27","6.95","7.09","6.18","585.24K","-9.65%"
"11/20/2023","6.94","7.17","7.31","6.82","379.09K","-3.07%"
"11/19/2023","7.16","6.87","7.19","6.71","290.10K","4.37%"
"11/18/2023","6.86","6.98","6.98","6.50","353.67K","-2.00%"
"11/17/2023","7.00","7.39","7.67","6.76","842.58K","-5.53%"
"11/16/2023","7.41","7.39","7.59","6.98","1.04M","0.41%"
"11/15/2023","7.38","7.01","7.54","6.83","1.36M","5.28%"
"11/14/2023","7.01","6.74","7.14","6.57","1.02M","4.01%"
"11/13/2023","6.74","6.99","7.48","6.73","1.40M","-3.71%"
"11/12/2023","7.00","6.83","7.03","6.52","717.18K","2.49%"
"11/11/2023","6.83","6.62","6.98","6.43","758.54K","3.02%"
"11/10/2023","6.63","6.55","6.71","6.26","603.86K","1.07%"
"11/09/2023","6.56","6.94","7.06","5.88","1.09M","-5.48%"
