Adj Close,upper_shadow,lower_shadow,open2close,high2low,high2mean,low2mean,high2median,low2median,Price,Market_cap,Supply,BlockSize,BlockDifficulty,Hash_count,Growth Value
756.733,1.0047772,1.0029473,1.0625108,1.0707332,1.0346941,0.9663416,1.0352302,0.96684223,741.13,71661.52156822344,96692242.34375,25038,1919.555,156919.1805,946981
772.641,1.012799,1.0185349,1.0223405,1.0546169,1.0252832,0.97218543,1.0239873,0.97095656,756.2,73134.2675204875,96712863.6875,24025,1935.072,159441.8475,908945
884.444,1.0343561,1.0,1.1451396,1.1844821,1.0943054,0.92386824,1.1043403,0.93234026,861.97,83381.3101317575,96733424.75,30157,1924.73,159057.5377,1153936
962.72,1.0122061,1.0202073,1.0865914,1.1220795,1.0558673,0.9409916,1.0542116,0.939516,941.1,91055.21195699062,96754023.96875,32473,1904.343,158805.4552,1238030
980.922,1.0654057,1.0165175,1.0199738,1.1046352,1.0626669,0.962007,1.0759406,0.9740234,944.83,91435.91365407032,96774989.84375,33681,1895.45,162473.4175,1349890
997.72,1.0778475,1.0203121,1.022516,1.1245027,1.0739979,0.955087,1.0898468,0.96918124,967.13,93614.22333064469,96795904.71875,33416,1933.064,166391.1687,1271577
1041.68,1.0182685,1.0005349,1.0467526,1.0664454,1.03682,0.9722206,1.0415281,0.9766353,1006.41,97437.45192115876,96816855.875,32655,1899.132,163074.7937,1226417
1153.17,1.0,1.0,1.1056174,1.1056174,1.0501598,0.9498402,1.0501598,0.9498402,1117.75,108240.71229392188,96838033.8125,31266,1950.647,169010.8826,1152722
1148.53,1.0938218,1.1303873,0.9915995,1.246917,1.1041338,0.88549095,1.0984355,0.88092107,1136.11,110042.0663660975,96858637.25,32502,2005.81,168775.8944,1215473
1299.74,1.0163417,1.0004452,1.1341536,1.1532009,1.0756706,0.9327696,1.0802293,0.93672264,1289.24,124900.7629270975,96879373.0625,33037,2009.517,170785.6861,1256240
1255.82,1.0900073,1.023822,0.9657628,1.1555357,1.090263,0.94351304,1.1089916,0.95972085,1248.99,121027.69929045,96900455.0,30646,2005.905,174332.6871,1177685
1154.93,1.0545782,1.0174071,0.9107635,1.1780615,1.0926791,0.9275231,1.1038291,0.93698776,1139.32,110424.59002859375,96921488.28125,31298,2075.422,179701.776,1173965
1273.2,1.0179391,1.0341045,1.0992066,1.1570857,1.0694238,0.9242391,1.066046,0.92131984,1261.03,122247.27912501218,96942403.53125,30655,2099.697,180394.1239,1118757
1396.42,1.0261096,1.0,1.0991366,1.1278346,1.0672745,0.9463041,1.0745701,0.9527727,1385.02,134295.814410485,96963086.75,31264,2140.802,181051.4051,1179321
1366.77,1.0022041,1.0626336,0.9780248,1.0889047,1.0277417,0.94383067,1.0133382,0.9306032,1359.48,131847.96194124,96984113.0,29323,2169.168,185408.671,1081593
1291.92,1.0185906,1.0010228,0.946316,1.0774755,1.0419682,0.9670458,1.0466857,0.97142404,1278.69,124038.71271568876,97004522.375,31846,2189.372,181636.7811,1206420
