Date,Price,Open,High,Low,Vol.,Change ,Yesterday Price,Tomorrow Price,30 Day Average,7 Day Average
2023-01-30,1566.50,1645.97,1647.25,1540.25,630.55,-4.83,1645.97,1585.27,1462.3363333333332,1593.2914285714287
2023-01-31,1585.27,1566.50,1602.03,1562.04,368.94,1.2,1566.50,1642.10,1475.1613333333335,1597.4514285714286
2023-02-01,1642.10,1585.27,1647.27,1560.18,505.44,3.59,1585.27,1641.71,1489.4336666666668,1601.8657142857141
2023-02-02,1641.71,1642.10,1710.27,1632.39,685.27,-0.02,1642.10,1663.79,1503.6716666666666,1607.4600000000003
2023-02-03,1663.79,1641.70,1673.59,1628.73,489.79,1.34,1641.71,1666.90,1517.234,1616.9157142857143
2023-02-04,1666.90,1663.78,1694.58,1646.11,328.66,0.19,1663.79,1629.44,1531.099,1630.32
2023-02-05,1629.44,1666.90,1671.88,1612.70,435.14,-2.25,1666.90,1613.72,1543.1090000000002,1627.9585714285715
2023-02-06,1613.72,1629.44,1657.75,1606.59,401.03,-0.96,1629.44,1671.40,1554.7696666666666,1634.7042857142856
2023-02-07,1671.40,1613.72,1676.83,1613.20,481.91,3.57,1613.72,1650.99,1567.537,1647.0085714285717
2023-02-08,1650.99,1671.39,1694.28,1631.15,447.57,-1.22,1671.40,1545.35,1578.553,1648.2785714285715
2023-02-09,1545.35,1650.97,1655.96,1530.98,702.21,-6.4,1650.99,1513.82,1585.5603333333336,1634.5128571428572
2023-02-10,1513.82,1545.35,1554.19,1499.49,523.33,-2.04,1545.35,1538.34,1589.693,1613.0885714285716
2023-02-11,1538.34,1513.12,1542.64,1508.07,306.24,1.62,1513.82,1515.44,1593.7683333333332,1594.7228571428573
2023-02-12,1515.44,1538.34,1547.30,1495.05,302.73,-1.49,1538.34,1505.84,1595.9209999999998,1578.4371428571428
2023-02-13,1505.84,1515.44,1525.56,1464.10,681.85,-0.63,1515.44,1555.46,1594.4483333333333,1563.0257142857142
2023-02-14,1555.46,1505.85,1565.20,1494.30,705.28,3.29,1505.84,1675.43,1594.5406666666668,1546.462857142857
2023-02-15,1675.43,1555.45,1676.94,1542.80,627.07,7.71,1555.46,1640.66,1597.823666666667,1549.9542857142858
2023-02-16,1640.66,1675.43,1738.87,1634.97,894.27,-2.08,1675.43,1693.96,1600.3566666666666,1563.5700000000002
2023-02-17,1693.96,1640.66,1720.06,1631.92,617.21,3.25,1640.66,1691.62,1606.445,1589.3042857142857
2023-02-18,1691.62,1693.96,1708.87,1681.17,283.51,-0.14,1693.96,1681.52,1611.1116666666667,1611.2014285714288
2023-02-19,1681.52,1691.62,1722.28,1670.97,427.00,-0.6,1691.62,1703.27,1611.8296666666668,1634.9271428571428
2023-02-20,1703.27,1681.49,1719.10,1651.54,478.59,1.29,1681.52,1659.41,1614.421,1663.1314285714286
2023-02-21,1659.41,1703.29,1716.35,1637.16,554.52,-2.58,1703.27,1643.39,1615.5003333333334,1677.9814285714285
2023-02-22,1643.39,1659.41,1666.39,1600.79,560.40,-0.97,1659.41,1650.52,1616.062333333333,1673.4042857142856
2023-02-23,1650.52,1643.39,1678.20,1630.94,529.75,0.43,1643.39,1608.24,1619.208,1674.812857142857
2023-02-24,1608.24,1650.52,1663.82,1579.68,548.07,-2.56,1650.52,1594.66,1619.1093333333333,1662.567142857143
2023-02-25,1594.66,1608.24,1608.62,1562.10,309.29,-0.84,1608.24,1641.60,1618.8463333333336,1648.7157142857143
2023-02-26,1641.60,1594.66,1648.77,1588.65,326.58,2.94,1594.66,1633.66,1620.3129999999999,1643.0128571428572
2023-02-27,1633.66,1641.59,1664.98,1609.82,458.53,-0.48,1641.60,1604.69,1622.3326666666665,1633.0685714285714
2023-02-28,1604.69,1633.66,1646.33,1598.67,411.49,-1.77,1633.66,1666.09,1620.9566666666665,1625.2514285714285
2023-03-01,1666.09,1604.69,1668.55,1595.40,497.12,3.83,1604.69,1647.38,1624.276333333333,1628.4942857142855
2023-03-02,1647.38,1666.09,1677.45,1620.20,440.63,-1.12,1666.09,1568.89,1626.3466666666668,1628.0457142857144
2023-03-03,1568.89,1647.86,1649.19,1547.61,783.74,-4.76,1647.38,1566.73,1623.9063333333334,1622.4242857142858
2023-03-04,1566.73,1569.45,1577.02,1550.10,247.02,-0.14,1568.89,1564.37,1621.407,1618.4342857142856
2023-03-05,1564.37,1566.73,1587.95,1556.84,313.01,-0.15,1566.73,1565.84,1618.093,1607.4014285714288
2023-03-06,1565.84,1564.36,1581.13,1555.43,322.16,0.09,1564.37,1561.78,1614.7243333333333,1597.7128571428573
2023-03-07,1561.78,1565.84,1580.95,1536.31,460.10,-0.26,1565.84,1533.04,1612.469,1591.5828571428572
2023-03-08,1533.04,1561.79,1569.70,1531.28,478.44,-1.84,1561.78,1438.50,1609.7796666666668,1572.5757142857144
2023-03-09,1438.50,1533.04,1545.98,1413.17,764.77,-6.17,1533.04,1426.75,1602.0163333333335,1542.7357142857143
2023-03-10,1426.75,1437.49,1437.49,1371.47,1.01,-0.82,1438.50,1471.15,1594.5416666666667,1522.43
2023-03-11,1471.15,1426.74,1475.92,1408.58,1.43,3.11,1426.75,1580.24,1592.0683333333332,1508.7757142857142
2023-03-12,1580.24,1472.08,1585.09,1452.33,1.06,7.42,1471.15,1673.93,1594.2823333333333,1511.042857142857
2023-03-13,1673.93,1580.28,1690.18,1565.83,1.30,5.93,1580.24,1700.15,1598.8020000000001,1526.4842857142855
2023-03-14,1700.15,1673.83,1776.65,1655.74,1.36,1.57,1673.93,1649.65,1604.9589999999998,1546.2514285714285
2023-03-15,1649.65,1700.14,1716.56,1614.93,1.02,-2.97,1700.15,1673.85,1609.7526666666668,1562.9099999999999
2023-03-16,1673.85,1649.66,1689.09,1634.21,660.14,1.47,1649.65,1789.38,1613.6989999999998,1596.5314285714285
2023-03-17,1789.38,1673.76,1796.74,1663.67,975.13,6.9,1673.85,1758.70,1617.4973333333332,1648.3357142857144
2023-03-18,1758.70,1789.38,1833.82,1751.14,763.06,-1.71,1789.38,1779.47,1621.432,1689.4142857142856
2023-03-19,1779.47,1758.70,1838.84,1758.66,574.73,1.18,1758.70,1732.31,1624.2823333333333,1717.8757142857144
2023-03-20,1732.31,1780.12,1802.76,1723.90,716.26,-2.65,1779.47,1803.54,1625.6386666666665,1726.2157142857143
2023-03-21,1803.54,1732.32,1833.12,1719.55,779.81,4.11,1732.31,1734.48,1629.706,1740.9857142857145
2023-03-22,1734.48,1801.58,1818.47,1711.05,933.24,-3.83,1803.54,1814.08,1630.7463333333333,1753.1042857142857
2023-03-23,1814.08,1734.32,1852.48,1729.38,767.73,4.59,1734.48,1749.26,1635.9020000000003,1773.137142857143
2023-03-24,1749.26,1813.62,1818.53,1728.69,602.30,-3.57,1814.08,1742.34,1639.431,1767.4057142857143
2023-03-25,1742.34,1749.28,1761.66,1714.43,368.84,-0.4,1749.26,1774.06,1642.4916666666666,1765.0685714285714
2023-03-26,1774.06,1742.32,1796.77,1739.39,371.97,1.82,1742.34,1714.65,1648.019,1764.2957142857142
2023-03-27,1714.65,1773.91,1780.06,1691.38,607.00,-3.35,1774.06,1772.63,1652.0186666666666,1761.7728571428572
2023-03-28,1772.63,1714.65,1792.38,1702.95,561.33,3.38,1714.65,1793.27,1656.3863333333331,1757.357142857143
2023-03-29,1793.27,1772.64,1825.01,1772.64,564.93,1.16,1772.63,1793.59,1661.7066666666667,1765.7557142857142
2023-03-30,1793.59,1793.16,1828.91,1766.90,607.74,0.02,1793.27,1821.62,1668.0033333333333,1762.8285714285714
2023-03-31,1821.62,1793.59,1845.54,1782.26,579.01,1.56,1793.59,1820.78,1673.187666666667,1773.1657142857143
2023-04-01,1820.78,1821.62,1840.27,1811.67,283.39,-0.05,1821.62,1795.01,1678.9676666666667,1784.3714285714284
2023-04-02,1795.01,1820.78,1824.32,1775.81,334.84,-1.42,1820.78,1810.77,1686.505,1787.3642857142856
2023-04-03,1810.77,1795.01,1838.71,1764.26,657.58,0.88,1795.01,1870.52,1694.6396666666667,1801.0957142857144
2023-04-04,1870.52,1810.77,1887.33,1802.51,658.37,3.3,1810.77,1908.96,1704.8446666666669,1815.0800000000002
2023-04-05,1908.96,1870.52,1936.10,1864.64,583.84,2.05,1870.52,1872.35,1716.282,1831.607142857143
2023-04-06,1872.35,1908.95,1908.95,1855.89,420.80,-1.92,1908.96,1863.46,1726.6343333333332,1842.8585714285714
2023-04-07,1863.46,1872.35,1882.56,1844.43,298.77,-0.47,1872.35,1848.93,1737.6483333333333,1848.8357142857142
2023-04-08,1848.93,1863.45,1879.11,1847.72,207.67,-0.78,1863.46,1858.90,1751.3293333333334,1852.857142857143
2023-04-09,1858.90,1848.93,1871.87,1825.60,306.40,0.54,1848.93,1910.36,1765.7343333333333,1861.9842857142855
2023-04-10,1910.36,1858.90,1916.53,1847.39,457.41,2.77,1858.90,1889.86,1780.3746666666668,1876.2114285714285
2023-04-11,1889.86,1910.35,1935.75,1884.64,428.26,-1.07,1910.36,1916.58,1790.6953333333333,1878.9742857142858
2023-04-12,1916.58,1889.86,1930.46,1857.35,669.43,1.41,1889.86,2012.11,1798.7836666666665,1880.0628571428572
2023-04-13,2012.11,1916.59,2018.73,1899.96,721.56,4.98,1916.58,2099.98,1809.1823333333334,1900.0285714285712
2023-04-14,2099.98,2012.12,2127.56,2009.53,957.03,4.37,2012.11,2090.59,1824.1933333333334,1933.817142857143
2023-04-15,2090.59,2099.98,2110.30,2074.33,340.60,-0.45,2099.98,2119.29,1838.0846666666666,1968.3400000000001
2023-04-16,2119.29,2090.59,2137.56,2073.26,342.43,1.37,2090.59,2074.74,1849.0816666666665,2005.5385714285712
2023-04-17,2074.74,2118.61,2119.18,2062.17,448.14,-2.1,2119.29,2103.34,1859.6163333333332,2029.0214285714285
2023-04-18,2103.34,2074.74,2121.27,2056.86,437.10,1.38,2074.74,1935.97,1870.412,2059.5185714285712
2023-04-19,1935.97,2103.36,2104.31,1925.00,855.36,-7.96,2103.34,1942.72,1877.2006666666668,2062.2885714285712
2023-04-20,1942.72,1935.97,1977.95,1917.71,665.65,0.35,1935.97,1849.81,1881.8400000000001,2052.3757142857144
2023-04-21,1849.81,1942.72,1955.35,1831.47,769.94,-4.78,1942.72,1873.95,1885.6843333333334,2016.637142857143
2023-04-22,1873.95,1848.88,1886.22,1845.73,351.72,1.3,1849.81,1862.05,1887.6799999999998,1985.6885714285713
2023-04-23,1862.05,1873.96,1881.92,1839.05,368.77,-0.63,1873.95,1841.88,1891.4396666666667,1948.94
2023-04-24,1841.88,1862.04,1889.09,1809.80,480.28,-1.08,1862.05,1865.95,1894.7576666666666,1915.6742857142858
2023-04-25,1865.95,1841.88,1877.54,1804.20,491.98,1.31,1841.88,1866.05,1897.8206666666667,1881.7614285714285
2023-04-26,1866.05,1865.95,1963.46,1793.76,958.23,0.01,1865.95,1908.81,1902.8673333333331,1871.7728571428572
2023-04-27,1908.81,1866.05,1937.55,1862.37,771.48,2.29,1866.05,1891.14,1907.4066666666668,1866.9285714285713
2023-04-28,1891.14,1908.79,1922.85,1875.03,408.45,-0.93,1908.81,1907.80,1910.669,1872.8328571428572
2023-04-29,1907.80,1890.93,1915.90,1886.27,193.47,0.88,1891.14,1868.88,1914.4759999999999,1877.6685714285716
2023-04-30,1868.88,1907.80,1937.86,1868.88,377.71,-2.04,1907.80,1830.75,1916.0513333333333,1878.6442857142858
2023-05-01,1830.75,1869.05,1885.70,1807.30,475.92,-2.04,1868.88,1869.74,1916.3836666666668,1877.054285714286
2023-05-02,1869.74,1830.75,1878.70,1823.25,391.27,2.13,1830.75,1904.74,1918.8746666666666,1877.5957142857144
2023-05-03,1904.74,1869.74,1915.00,1844.72,489.66,1.87,1869.74,1877.06,1922.007,1883.122857142857
2023-05-04,1877.06,1904.76,1915.15,1868.18,372.69,-1.45,1904.74,1993.33,1922.225,1878.587142857143
2023-05-05,1993.33,1877.06,1996.64,1875.66,589.05,6.19,1877.06,1896.48,1925.0373333333332,1893.185714285714
2023-05-06,1896.48,1993.33,2013.10,1868.09,658.63,-4.86,1993.33,1870.99,1925.8416666666667,1891.5685714285717
2023-05-07,1870.99,1896.48,1931.39,1870.94,441.65,-1.34,1896.48,1847.48,1926.0926666666667,1891.8700000000001
2023-05-08,1847.48,1871.03,1883.54,1813.63,667.82,-1.26,1870.99,1846.56,1926.0443333333335,1894.26
2023-05-09,1846.56,1847.48,1858.57,1832.05,318.79,-0.05,1847.48,1840.92,1925.633,1890.9485714285713
2023-05-10,1840.92,1846.56,1886.83,1797.07,685.11,-0.31,1846.56,1794.71,1923.3183333333332,1881.8314285714284
2023-05-11,1794.71,1840.92,1841.04,1774.30,548.42,-2.51,1840.92,1807.31,1920.1466666666665,1870.0671428571427
2023-05-12,1807.31,1794.71,1812.46,1741.48,598.87,0.7,1794.71,1794.95,1916.5043333333335,1843.492857142857
2023-05-13,1794.95,1807.31,1814.55,1786.23,223.65,-0.68,1807.31,1799.36,1909.2656666666667,1828.9885714285715
2023-05-14,1799.36,1795.11,1822.93,1791.86,229.74,0.25,1794.95,1817.11,1899.245,1818.7557142857142
2023-05-15,1817.11,1799.36,1845.27,1786.61,405.84,0.99,1799.36,1823.98,1890.1290000000001,1814.4171428571428
2023-05-16,1823.98,1817.11,1830.01,1797.60,325.77,0.38,1817.11,1821.73,1880.2853333333333,1811.1914285714286
2023-05-17,1821.73,1823.98,1834.44,1785.78,376.26,-0.12,1823.98,1800.99,1871.8516666666667,1808.4500000000003
2023-05-18,1800.99,1822.12,1831.51,1774.77,311.24,-1.14,1821.73,1812.32,1861.7733333333333,1809.347142857143
2023-05-19,1812.32,1800.95,1829.33,1796.99,253.50,0.63,1800.99,1819.68,1857.6516666666664,1810.0628571428572
2023-05-20,1819.68,1812.32,1828.06,1807.08,134.46,0.41,1812.32,1804.89,1853.5503333333331,1813.5957142857144
2023-05-21,1804.89,1819.66,1827.47,1799.03,170.05,-0.81,1819.68,1817.19,1852.0529999999999,1814.3857142857144
2023-05-22,1817.19,1804.89,1827.38,1792.35,250.27,0.68,1804.89,1854.08,1850.161,1814.3971428571429
2023-05-23,1854.08,1817.19,1868.89,1815.41,428.05,2.03,1817.19,1799.91,1849.8953333333334,1818.697142857143
2023-05-24,1799.91,1854.08,1854.08,1781.70,441.64,-2.92,1854.08,1805.69,1848.4963333333333,1815.5800000000002
2023-05-25,1805.69,1799.91,1817.05,1764.92,370.60,0.32,1799.91,1827.80,1846.4876666666667,1816.2514285714285
2023-05-26,1827.80,1805.62,1837.39,1798.10,290.89,1.22,1805.69,1829.91,1845.2126666666668,1818.462857142857
2023-05-27,1829.91,1827.80,1835.94,1817.35,147.46,0.12,1827.80,1908.35,1842.5826666666665,1819.9242857142856
2023-05-28,1908.35,1829.91,1914.92,1824.70,401.09,4.29,1829.91,1892.61,1843.1563333333331,1834.7042857142858
2023-05-29,1892.61,1908.37,1925.74,1878.33,338.07,-0.83,1908.35,1900.59,1842.65,1845.4785714285713
2023-05-30,1900.59,1892.61,1915.91,1882.97,288.67,0.42,1892.61,1873.63,1843.7069999999999,1852.122857142857
2023-05-31,1873.63,1900.59,1906.21,1852.00,337.87,-1.42,1900.59,1861.77,1845.1363333333331,1862.6542857142856
2023-06-01,1861.77,1873.62,1888.07,1846.23,286.98,-0.63,1873.63,1907.10,1844.8706666666667,1870.6657142857143
2023-06-02,1907.10,1861.77,1910.01,1847.84,329.16,2.43,1861.77,1892.05,1844.9493333333335,1881.9942857142855
2023-06-03,1892.05,1907.10,1907.90,1884.17,157.10,-0.79,1907.10,1890.04,1845.4489999999998,1890.8714285714286
2023-06-04,1890.04,1892.05,1914.12,1884.54,183.07,-0.11,1892.05,1811.20,1842.006,1888.2557142857142
2023-06-05,1811.20,1890.00,1890.53,1782.82,588.61,-4.17,1890.04,1884.17,1839.1633333333334,1876.6257142857144
2023-06-06,1884.17,1811.19,1895.79,1800.75,518.57,4.03,1811.20,1832.10,1839.6026666666667,1874.2800000000002
2023-06-07,1832.10,1884.63,1893.73,1823.42,454.83,-2.76,1884.17,1845.68,1839.09,1868.347142857143
2023-06-08,1845.68,1832.10,1860.53,1829.38,202.78,0.74,1832.10,1840.41,1839.0606666666667,1866.0485714285714
2023-06-09,1840.41,1845.68,1854.72,1828.66,215.71,-0.29,1845.68,1751.56,1839.043666666667,1856.5214285714287
2023-06-10,1751.56,1840.41,1844.23,1719.16,696.59,-4.83,1840.41,1752.80,1837.6053333333334,1836.4514285714286
2023-06-11,1752.80,1751.56,1775.87,1740.02,232.04,0.07,1751.56,1742.60,1835.7883333333332,1816.8457142857144
2023-06-12,1742.60,1752.80,1757.79,1722.92,320.47,-0.58,1752.80,1739.60,1834.0433333333335,1807.0457142857142
2023-06-13,1739.60,1742.60,1763.15,1727.64,303.23,-0.17,1742.60,1650.96,1832.0513333333333,1786.392857142857
2023-06-14,1650.96,1739.60,1749.90,1636.49,451.13,-5.1,1739.60,1666.96,1826.513,1760.515714285714
2023-06-15,1666.96,1650.96,1678.94,1632.50,397.40,0.97,1650.96,1717.92,1821.279,1734.984285714286
2023-06-16,1717.92,1666.96,1728.35,1653.68,333.35,3.06,1666.96,1727.79,1817.8186666666666,1717.4857142857143
2023-06-17,1727.79,1717.92,1764.06,1714.30,227.93,0.57,1717.92,1720.98,1815.3786666666667,1714.09
2023-06-18,1720.98,1727.79,1746.40,1715.90,167.46,-0.39,1727.79,1737.06,1812.334,1709.544285714286
2023-06-19,1737.06,1720.98,1748.05,1706.40,263.64,0.93,1720.98,1791.61,1809.5800000000002,1708.7528571428572
2023-06-20,1791.61,1737.06,1793.35,1715.20,359.77,3.14,1737.06,1889.87,1809.1373333333333,1716.182857142857
2023-06-21,1889.87,1791.64,1899.11,1787.59,653.63,5.48,1791.61,1872.32,1811.5600000000002,1750.3128571428572
2023-06-22,1872.32,1889.87,1931.60,1866.66,438.75,-0.93,1889.87,1891.97,1812.1680000000001,1779.6499999999999
2023-06-23,1891.97,1872.29,1932.23,1864.60,428.03,1.05,1872.32,1875.00,1815.2366666666667,1804.5142857142855
2023-06-24,1875.00,1891.98,1904.04,1865.77,239.37,-0.9,1891.97,1898.80,1817.5469999999998,1825.5442857142857
2023-06-25,1898.80,1875.00,1929.61,1869.28,356.99,1.27,1875.00,1859.00,1819.9136666666666,1850.9471428571428
2023-06-26,1859.00,1898.80,1906.07,1840.63,479.76,-2.1,1898.80,1889.51,1820.8833333333334,1868.3671428571429
2023-06-27,1889.51,1859.00,1911.73,1856.19,386.05,1.64,1859.00,1827.95,1820.2553333333335,1882.3528571428574
2023-06-28,1827.95,1889.51,1890.11,1821.94,356.71,-3.26,1889.51,1851.92,1818.1,1873.5071428571428
2023-06-29,1851.92,1827.95,1878.86,1827.95,256.22,1.31,1827.95,1933.80,1816.4776666666664,1870.5928571428572
2023-06-30,1933.80,1851.92,1943.65,1837.49,765.42,4.42,1851.92,1924.53,1818.4833333333333,1876.5685714285717
2023-07-01,1924.53,1933.80,1943.20,1909.92,189.41,-0.48,1933.80,1937.57,1820.5753333333332,1883.6442857142858
2023-07-02,1937.57,1924.53,1958.36,1893.68,283.61,0.68,1924.53,1955.56,1821.591,1889.182857142857
2023-07-03,1955.56,1937.57,1974.61,1934.51,346.33,0.93,1937.57,1936.19,1823.708,1902.9771428571428
2023-07-04,1936.19,1955.56,1966.03,1931.64,226.10,-0.99,1955.56,1910.43,1825.2463333333333,1909.6457142857141
2023-07-05,1910.43,1936.21,1942.15,1896.43,284.34,-1.33,1936.19,1848.36,1828.5539999999999,1921.4285714285713
2023-07-06,1848.36,1910.43,1957.58,1847.01,483.00,-3.25,1910.43,1870.92,1827.3603333333333,1920.92
2023-07-07,1870.92,1848.29,1877.51,1827.35,249.82,1.22,1848.36,1865.28,1828.6543333333332,1911.9371428571428
2023-07-08,1865.28,1870.92,1873.16,1843.82,136.69,-0.3,1870.92,1862.91,1829.3076666666666,1903.4728571428573
2023-07-09,1862.91,1865.28,1878.22,1856.97,145.47,-0.13,1865.28,1880.42,1830.0576666666666,1892.8071428571432
2023-07-10,1880.42,1862.91,1903.82,1846.71,264.83,0.94,1862.91,1878.33,1834.3529999999998,1882.0728571428572
2023-07-11,1878.33,1880.42,1889.83,1863.93,191.47,-0.11,1880.42,1871.86,1838.5373333333334,1873.8071428571432
2023-07-12,1871.86,1878.33,1901.45,1865.11,280.91,-0.34,1878.33,2004.77,1842.846,1868.297142857143
2023-07-13,2004.77,1871.86,2010.75,1863.22,588.53,7.1,1871.86,1938.05,1851.685,1890.6414285714286
2023-07-14,1938.05,2004.77,2025.56,1900.22,530.86,-3.33,2004.77,1931.42,1861.2546666666667,1900.2314285714285
2023-07-15,1931.42,1938.05,1946.10,1926.83,145.89,-0.34,1938.05,1922.45,1870.07,1909.68
2023-07-16,1922.45,1931.43,1942.55,1918.01,158.59,-0.46,1931.42,1911.24,1876.8876666666667,1918.185714285714
2023-07-17,1911.24,1922.45,1935.99,1876.00,293.54,-0.58,1922.45,1897.58,1883.0026666666668,1922.5885714285712
2023-07-18,1897.58,1911.24,1917.21,1877.52,233.00,-0.71,1911.24,1888.65,1888.8893333333333,1925.3385714285712
2023-07-19,1888.65,1897.58,1920.48,1882.18,244.92,-0.47,1897.58,1891.23,1893.9423333333332,1927.7371428571428
2023-07-20,1891.23,1888.64,1928.36,1879.39,321.92,0.14,1888.65,1891.75,1897.263,1911.517142857143
2023-07-21,1891.75,1891.68,1905.57,1884.95,176.39,0.03,1891.23,1866.25,1897.3256666666666,1904.9028571428573
2023-07-22,1866.25,1891.75,1897.03,1854.09,143.13,-1.35,1891.75,1888.85,1897.1233333333332,1895.5928571428574
